Rates in USDollars All Inclusive,High/Peak Season 15th Aug - 15th Oct 2025 20th Dec 2025 - 5th Jan 2026 1st June - 15th Oct 2026 20th Dec - 5th Jan 2027,Low/Shoulder Season 16th Oct - 19th Dec 2025 6th Jan - 31st May 2026 16th Oct - 19th Dec 2026
Per person Sharing per Night,"3,500","2,500"
Single Occupancy,"4,000","3,000"
Children 6-12 years in own room,"2,625","1,875"
Children 6-12 years sharing with adults,"1,750","1,250"
2 Bedroom Executive Suites (4 pax per suite),"14,000","10,000"
4 Bedroom Presidential Suite (8 pax),"30,000","20,000"
Pilot/Guide Tent,500,500
